,category,name,format,price,unit
0,Fruta,Plátano de Canarias IGP,Pieza 160 g aprox.,0.32,ud.
1,Fruta,Banana,Pieza 180 g aprox.,0.26,ud.
2,Fruta,Plátano macho,Pieza 320 g aprox.,0.92,ud.
3,Fruta,Uva blanca sin semillas,Bandeja 500 g aprox.,2.55,ud.
4,Fruta,Uva roja sin semillas,Bandeja 500 g aprox.,2.55,ud.
5,Fruta,Manzana Golden,Pieza 210 g aprox.,0.44,ud.
6,Fruta,Manzanas Golden,"Bolsa 1,5 kg aprox.",2.84,ud.
7,Fruta,Pera Conferencia,Pieza 180 g aprox.,0.45,ud.
8,Fruta,Peras Conferencia,"1,5 kg aprox.",2.99,pack
9,Fruta,Manzanas rojas dulces,"Bolsa 1,5 kg aprox.",3.14,ud.
10,Fruta,Manzana roja dulce,Pieza 270 g aprox.,0.74,ud.
11,Fruta,Manzana Granny Smith,Pieza 190 g aprox.,0.4,ud.
12,Fruta,Pera Rocha,Pieza 130 g aprox.,0.31,ud.
13,Fruta,Manzana roja acidulce,Pieza 230 g aprox.,0.55,ud.
14,Fruta,Manzanas rojas acidulces,"Bolsa 1,5 kg aprox.",2.99,ud.
15,Fruta,Medio melón piel de sapo,"1/2 Pieza 1,71 kg aprox.",3.74,ud.
16,Fruta,Melón piel de sapo,"Pieza 3,39 kg aprox.",6.75,ud.
17,Fruta,Limones,Malla 1 kg,0.39,ud.
18,Fruta,Limón,Pieza 210 g aprox.,0.44,ud.
19,Fruta,Mandarina,Pieza 190 g aprox.,4.18,ud.
20,Fruta,Mandarinas,"1,5 kg",0.6,pack
21,Fruta,Mandarina,Malla 2 kg,4.47,ud.
22,Fruta,Naranja para mesa,Pieza 320 g aprox.,5.75,ud.
23,Fruta,Naranjas,Malla 3 kg,0.84,ud.
24,Fruta,Naranjas,Malla 5 kg,0.32,ud.
25,Fruta,Pomelo,Pieza 420 g aprox.,0.35,ud.
26,Fruta,Lima,Pieza 80 g aprox.,2.88,ud.
27,Fruta,Kiwi verde,Pieza 120 g aprox.,0.91,ud.
28,Fruta,Kiwis verdes,Bandeja 1 kg aprox.,2.47,ud.
29,Fruta,Aguacate,Pieza 190 g aprox.,3.32,ud.
30,Fruta,Aguacates,550 g aprox.,1.92,pack
31,Fruta,Piña,"Pieza 1,74 kg aprox.",3.59,ud.
32,Fruta,Media piña,1/2 Pieza 910 g aprox.,1.75,ud.
33,Fruta,Guacamole Hacendado,Tarrina 500 g,2.25,ud.
34,Fruta,Guacamole Hacendado,Tarrina 200 g,2.9,ud.
35,Fruta,Mango,Pieza 490 g aprox.,2.4,ud.
36,Fruta,Piña natural a rodajas,Bote 500 g aprox.,4.05,ud.
37,Fruta,Papaya,Pieza 480 g aprox.,3.49,ud.
38,Fruta,Cereza,Bandeja 300 g aprox.,5.49,ud.
39,Fruta,Fresón,Bandeja 500 g aprox.,2.13,ud.
40,Fruta,Fresón,Bandeja 1 kg aprox.,2.49,ud.
41,Fruta,Frambuesa,Bandeja 170 g aprox.,3.15,ud.
42,Fruta,Moras,Bandeja 125 g,6.49,ud.
43,Lechuga y ensalada preparada,Lechuga Iceberg,Pieza 1 ud.,0.99,ud.
44,Lechuga y ensalada preparada,Ensalada mezcla 4 estaciones,Paquete 250 g,0.72,ud.
45,Lechuga y ensalada preparada,Lechugas corazón romana,Paquete 2 ud.,1.63,ud.
46,Lechuga y ensalada preparada,Ensalada mezcla brotes tiernos,Paquete 100 g,1.15,ud.
47,Lechuga y ensalada preparada,Canónigos base para ensalada,Paquete 125 g,1.14,ud.
48,Lechuga y ensalada preparada,Lechuga iceberg base para ensalada,Paquete 250 g,0.86,ud.
49,Lechuga y ensalada preparada,Ensalada mezcla gourmet,Paquete 175 g,1.02,ud.
50,Lechuga y ensalada preparada,Cogollos de lechuga,Paquete 3 ud.,1.12,ud.
51,Lechuga y ensalada preparada,Lechuga corazón romana,Paquete 1 ud.,1.15,ud.
52,Lechuga y ensalada preparada,Endibias,Bandeja 450 g,1.65,ud.
53,Lechuga y ensalada preparada,Ensalada mezcla brotes tiernos maxi,Paquete 175 g,1.59,ud.
54,Lechuga y ensalada preparada,Ensalada mezcla gourmet maxi,Paquete 300 g,1.66,ud.
55,Lechuga y ensalada preparada,Ensalada mezcla tierna,Paquete 150 g,1.2,ud.
56,Lechuga y ensalada preparada,Rúcula base para ensalada,Paquete 50 g,0.79,ud.
57,Lechuga y ensalada preparada,Cogollos corazón de lechuga,Paquete 6 ud.,1.98,ud.
58,Lechuga y ensalada preparada,Ensalada mezcla primavera,Paquete 200 g,0.96,ud.
59,Lechuga y ensalada preparada,Ensalada mezcla dúo canónigos y rúcula,Paquete 100 g,1.3,ud.
60,Lechuga y ensalada preparada,Ensalada mezcla fresca,Paquete 200 g,1.11,ud.
61,Lechuga y ensalada preparada,Lechuga hoja roble,Paquete 1 ud.,1.3,ud.
62,Lechuga y ensalada preparada,Escarola rizada base para ensalada,Paquete 150 g,1.2,ud.
63,Lechuga y ensalada preparada,Escarola rizada,Paquete 1 ud.,1.74,ud.
64,Lechuga y ensalada preparada,Espinaca baby base para ensalada,Paquete 100 g,1.11,ud.
65,Lechuga y ensalada preparada,Lechuga romana cortada,Paquete 200 g,1.15,ud.
66,Lechuga y ensalada preparada,Ensalada César,Bol 210 g,2.39,ud.
67,Lechuga y ensalada preparada,Ensalada California,Bol 192 g,2.29,ud.
68,Lechuga y ensalada preparada,Wraps Texas,Bol 300 g,2.99,ud.
69,Lechuga y ensalada preparada,Ensalada de la casa,Bol 400 g,2.1,ud.
70,Lechuga y ensalada preparada,Ensalada mil islas,Bol 330 g,2.55,ud.
71,Lechuga y ensalada preparada,Ensalada ensatún,Bol 250 g,2.49,ud.
72,Lechuga y ensalada preparada,Ensalada jamón,Bol 215 g,2.49,ud.
73,Lechuga y ensalada preparada,Ensalada de pasta,Bol 250 g,2.49,ud.
74,Lechuga y ensalada preparada,Ensalada queso de cabra,Bol 135 g,2.79,ud.
75,Lechuga y ensalada preparada,Ensalada de pasta Listo para Comer,Bol 340 g,4.0,ud.
76,Verdura,Patata,Pieza 180 g aprox.,0.36,ud.
77,Verdura,Patatas,Malla 3 kg,4.9,ud.
78,Verdura,Patatas rojas,Malla 2 kg,3.65,ud.
79,Verdura,Patatas,Malla 5 kg,6.49,ud.
80,Verdura,Patatas guarnición,Malla 1 kg,2.3,ud.
81,Verdura,Batata,Pieza 370 g aprox.,0.78,ud.
82,Verdura,Patatas especial para freir,Malla 2 kg,3.75,ud.
83,Verdura,Yuca,Pieza 710 g aprox.,1.97,ud.
84,Verdura,Cebollas tiernas,Manojo 3 ud.,0.99,ud.
85,Verdura,Cebollas,Malla 2 kg,2.79,ud.
86,Verdura,Cebollas,Malla 1 kg,1.85,ud.
87,Verdura,Ajos morados,Malla 250 g,1.55,ud.
88,Verdura,Cebollas dulces,Malla 1 kg,2.44,ud.
89,Verdura,Ajo tierno,Manojo 200 g,2.35,ud.
90,Verdura,Cebollas rojas,Malla 500 g,1.45,ud.
91,Verdura,Ajo negro dientes pelados,Tarrina 85 g,4.45,ud.
92,Verdura,Picada de ajo y Perejil,Bandeja 100 g,1.45,ud.
93,Verdura,Tomate ensalada,Pieza 210 g aprox.,0.48,ud.
94,Verdura,Tomate canario,Pieza 190 g aprox.,0.37,ud.
95,Verdura,Tomate pera,Pieza 130 g aprox.,0.26,ud.
96,Verdura,Tomates pera,Bandeja 1 kg aprox.,2.09,ud.
97,Verdura,Tomates cherry pera kumato,Bandeja 300 g,1.55,ud.
98,Verdura,Tomates cherry,Bandeja 500 g,1.95,ud.
99,Verdura,Tomates cherry en rama Dulcita,Bandeja 200 g,2.26,ud.
100,Verdura,Tomates kumato negro,Bandeja 1 kg aprox.,2.29,ud.
101,Verdura,Tomates,Malla 2 kg,3.7,ud.
102,Verdura,Tomate kumato negro,Pieza 120 g aprox.,0.29,ud.
103,Verdura,Tomate rallado,Tarrina 290 g,1.39,ud.
104,Verdura,Rama de Tomates,"1,01 kg aprox.",2.31,pack
105,Verdura,Tomates Anhel,460 g aprox.,2.76,pack
106,Verdura,Zanahorias,Paquete 1 kg,1.09,ud.
107,Verdura,Pepino,Pieza 180 g aprox.,0.36,ud.
108,Verdura,Pepino holandés,Pieza 425 g aprox.,0.93,ud.
109,Verdura,Zanahorias,Paquete 500 g,0.85,ud.
110,Verdura,Pepinos,"Malla 1,25 kg",2.48,ud.
111,Verdura,Palitos de zanahoria,Tarrina 180 g,1.99,ud.
112,Verdura,Zanahoria rallada base para ensalada,Paquete 150 g,0.9,ud.
113,Verdura,Pimiento rojo,Pieza 370 g aprox.,1.0,ud.
114,Verdura,Calabacín verde,Pieza 380 g aprox.,0.76,ud.
115,Verdura,Pimiento verde freír,Pieza 120 g aprox.,0.26,ud.
116,Verdura,Pimiento verde,Pieza 290 g aprox.,0.78,ud.
117,Verdura,"Pimientos tricolor rojo, amarillo y verde",550 g aprox.,1.64,pack
118,Verdura,Pimientos semipicantes,Paquete 250 g,1.35,ud.
119,Verdura,Coliflor,"Pieza 1,1 kg aprox.",2.19,ud.
120,Verdura,Repollo liso,"Pieza 1,52 kg aprox.",2.51,ud.
121,Verdura,Medio repollo liso,1/2 Pieza 750 g aprox.,1.46,ud.
122,Verdura,Repollo rizado,Pieza 930 g aprox.,1.53,ud.
123,Verdura,Medio repollo rizado,1/2 Pieza 460 g aprox.,0.89,ud.
124,Verdura,Coles de bruselas,Paquete 500 g,2.5,ud.
125,Verdura,Col lombarda,Pieza 990 g aprox.,1.83,ud.
126,Verdura,Media col lombarda,1/2 Pieza 490 g aprox.,1.03,ud.
127,Verdura,Champiñón pequeño,Bandeja 300 g aprox.,1.43,ud.
128,Verdura,Champiñón laminado limpio,Bandeja 320 g aprox.,1.99,ud.
129,Verdura,Seta,Bandeja 250 g aprox.,1.95,ud.
130,Verdura,Champiñón grande,Bandeja 430 g aprox.,2.21,ud.
131,Verdura,Seta laminada,Bandeja 250 g aprox.,2.11,ud.
132,Verdura,Champiñón Portobello,Bandeja 300 g aprox.,2.03,ud.
133,Verdura,Seta shiitake,Bandeja 300 g aprox.,3.76,ud.
134,Verdura,Mix de setas intenso,Bandeja 235 g aprox.,4.43,ud.
135,Verdura,Mix de setas suave,Bandeja 260 g aprox.,3.82,ud.
136,Verdura,Perejil troceado,Paquete 40 g,0.75,ud.
137,Verdura,Jengibre,200 g aprox.,1.69,pack
138,Verdura,Cilantro,Bandeja 20 g,1.25,ud.
139,Verdura,Albahaca,Bandeja 20 g,1.5,ud.
140,Verdura,Hierbabuena,Paquete 40 g,1.15,ud.
141,Verdura,Cebollino,Bandeja 20 g,1.8,ud.
142,Verdura,Espinacas cortadas,Paquete 300 g,1.2,ud.
143,Verdura,Brócoli,Pieza 420 g aprox.,1.13,ud.
144,Verdura,Berenjena,Pieza 330 g aprox.,0.51,ud.
145,Verdura,Berenjena rayada,Pieza 350 g aprox.,0.74,ud.
146,Verdura,Judía verde plana,Bandeja 750 g,3.25,ud.
147,Verdura,Judía verde plana,Paquete 350 g,1.89,ud.
148,Verdura,Acelgas cortadas,Paquete 300 g,1.2,ud.
149,Verdura,Puerros,Manojo 2 ud.,1.68,ud.
150,Verdura,Puerros,Bandeja 450 g aprox.,2.09,ud.
151,Verdura,Alcachofa,Pieza 210 g aprox.,0.63,ud.
152,Verdura,Judía verde redonda,Bandeja 500 g,1.8,ud.
153,Verdura,Calabaza cacahuete cortada a trozos,Bandeja 450 g aprox.,1.26,ud.
154,Verdura,Apio verde,Paquete 660 g aprox.,1.05,ud.
155,Verdura,Apio cortado,Bandeja 210 g aprox.,1.79,ud.
156,Verdura,Preparado de verdura para cocido,Bandeja 900 g aprox.,1.1,ud.
157,Verdura,Espárrago verde fino,Paquete 250 g,0.99,ud.
158,Verdura,Rabanitos,Paquete 250 g,2.26,ud.
159,Verdura,Remolacha cocida y pelada,Paquete 450 g,0.75,ud.
160,Verdura,Acelgas,Paquete 800 g,1.55,ud.
161,Verdura,Nabicol,Pieza 250 g aprox.,1.72,ud.
162,Verdura,Maíz dulce en mazorca cocido,Paquete 2 ud. (450 g),1.28,ud.
163,Verdura,Calabaza cacahuete,Pieza 930 g aprox.,3.69,ud.
164,Verdura,Media calabaza cacahuete,1/2 Pieza 610 g aprox.,2.99,ud.
165,Verdura,Espárrago verde grueso,Paquete 300 g,3.79,ud.
166,Verdura,Maíz dulce en mazorca,Bandeja 2 ud.,1.64,ud.
167,Verdura,Castañas,Malla 500 g,1.52,ud.
168,Verdura,3 Vegetales para micro,Paquete 300 g,1.8,ud.
169,Verdura,Floretas de brócoli para micro,Paquete 230 g,1.35,ud.
170,Verdura,Mix de verduras paisana para micro,Paquete 300 g,1.3,ud.
171,Verdura,Sopa juliana para micro,Paquete 400 g,2.4,ud.
172,Verdura,Patata para micro,Paquete 400 g,1.9,ud.
173,Pescado fresco,Salmón a rodajas,"Pieza 2,46 kg aprox.",31.86,ud.
174,Pescado fresco,Salmón media pieza a rodajas,"1/2 Pieza 1,31 kg aprox.",16.96,ud.
175,Pescado fresco,Salmón abierto en libro sin cabeza y sin espina,"Pieza 2,46 kg aprox.",31.86,ud.
176,Pescado fresco,Salmón media pieza abierto en libro sin cabeza y sin espina,"1/2 Pieza 1,31 kg aprox.",16.96,ud.
177,Pescado fresco,Salmón sin aletas y sin escamas,"Pieza 2,46 kg aprox.",31.86,ud.
178,Pescado fresco,Salmón media pieza sin aletas y sin escamas,"1/2 Pieza 1,31 kg aprox.",16.96,ud.
179,Pescado fresco,Filete de salmón,Bandeja 400 g aprox.,9.58,ud.
180,Pescado fresco,Rodajas de salmón,Bandeja 400 g aprox.,8.3,ud.
181,Pescado fresco,Escalopines de salmón,Bandeja 400 g aprox.,10.18,ud.
182,Pescado fresco,Dorada limpia con cabeza,Pieza 530 g aprox.,4.48,ud.
183,Pescado fresco,Dorada abierta a la espalda con espinas y con cabeza,Pieza 530 g aprox.,4.48,ud.
184,Pescado fresco,Dorada a filetes sin cabeza y sin espina,Pieza 530 g aprox.,4.48,ud.
185,Pescado fresco,Dorada abierta en libro sin cabeza y sin espina,Pieza 530 g aprox.,4.48,ud.
186,Pescado fresco,Dorada sin limpiar,Pieza 530 g aprox.,4.48,ud.
187,Pescado fresco,Filetes de dorada,Bandeja 380 g aprox.,8.57,ud.
188,Pescado fresco,Lubina limpia con cabeza,Pieza 470 g aprox.,3.97,ud.
189,Pescado fresco,Lubina abierta a la espalda con espinas y con cabeza,Pieza 470 g aprox.,3.97,ud.
190,Pescado fresco,Lubina a filetes sin cabeza y sin espina,Pieza 470 g aprox.,3.97,ud.
191,Pescado fresco,Lubina abierta en libro sin cabeza y sin espina,Pieza 470 g aprox.,3.97,ud.
192,Pescado fresco,Lubina sin limpiar,Pieza 470 g aprox.,3.97,ud.
193,Pescado fresco,Filetes de lubina,Bandeja 400 g aprox.,9.02,ud.
194,Pescado fresco,Merluza a rodajas,"Pieza 1,26 kg aprox.",12.54,ud.
195,Pescado fresco,Merluza media pieza a rodajas,1/2 Pieza 710 g aprox.,7.06,ud.
196,Pescado fresco,Merluza abierta en libro sin cabeza y sin espina,"Pieza 1,26 kg aprox.",12.54,ud.
197,Pescado fresco,Merluza media pieza abierta en libro sin cabeza y sin espina,1/2 Pieza 710 g aprox.,7.06,ud.
198,Pescado fresco,Merluza sin aletas y sin escamas,"Pieza 1,26 kg aprox.",12.54,ud.
199,Pescado fresco,Merluza media pieza sin aletas y sin escamas,1/2 Pieza 710 g aprox.,7.06,ud.
200,Pescado fresco,Filetes de merluza,Bandeja 400 g aprox.,8.38,ud.
201,Pescado fresco,Bacalao a rodajas,"Pieza 2,14 kg aprox.",21.29,ud.
202,Pescado fresco,Bacalao media pieza a rodajas,1/2 Pieza 880 g aprox.,8.76,ud.
203,Pescado fresco,Bacalao abierto en libro sin cabeza y sin espina,"Pieza 2,14 kg aprox.",21.29,ud.
204,Pescado fresco,Bacalao media pieza abierto en libro sin cabeza y sin espina,1/2 Pieza 880 g aprox.,8.76,ud.
205,Pescado fresco,Bacalao al punto de sal con agua añadida,Bandeja 500 g aprox.,7.48,ud.
206,Pescado fresco,Hoja de bacalao,Paquete 800 g aprox.,13.92,ud.
207,Pescado fresco,Migas de bacalao saladas,Bandeja 250 g,5.55,ud.
208,Pescado fresco,Trozos de bacalao salado,Paquete 400 g,4.55,ud.
209,Pescado fresco,Corvina limpia con cabeza,"Pieza 1,21 kg aprox.",10.83,ud.
210,Pescado fresco,Corvina abierta a la espalda con espinas y con cabeza,"Pieza 1,21 kg aprox.",10.83,ud.
211,Pescado fresco,Corvina a filetes,"Pieza 1,21 kg aprox.",10.83,ud.
212,Pescado fresco,Rape a rodajas,"Pieza 1,46 kg aprox.",18.83,ud.
213,Pescado fresco,Rape abierto en libro sin cabeza y sin espina,"Pieza 1,46 kg aprox.",18.83,ud.
214,Pescado fresco,Rape sin piel y sin cabeza,"Pieza 1,46 kg aprox.",18.83,ud.
215,Pescado fresco,Rape sin aletas y sin dientes,"Pieza 1,46 kg aprox.",18.83,ud.
216,Pescado fresco,Sepia,Pieza 700 g aprox.,9.77,ud.
217,Pescado fresco,Calamar pequeño limpio patagónico,Bandeja 300 g,5.1,ud.
218,Pescado fresco,Tiras de potón del Pacífico Hacendado,Bandeja 300 g,3.6,ud.
219,Pescado fresco,Patas de pulpo cocido,Bandeja 250 g,9.95,ud.
220,Pescado fresco,Trucha abierta en libro con cabeza,Pieza 360 g aprox.,3.22,ud.
221,Pescado fresco,Trucha abierta en libro sin cabeza y sin espina,Pieza 360 g aprox.,3.22,ud.
222,Pescado fresco,Trucha sin aletas,Pieza 360 g aprox.,3.22,ud.
223,Pescado fresco,Filetes de trucha Arco iris,Bandeja 226 g aprox.,3.6,ud.
224,Pescado fresco,Lenguado sin cabeza y sin piel,Pieza 130 g aprox.,3.24,ud.
225,Pescado fresco,Lenguado sin limpiar,Pieza 130 g aprox.,3.24,ud.
226,Pescado fresco,Boquerón sin limpiar,Granel 200 g aprox.,1.99,200 g
227,Pescado fresco,Boquerón limpio sin cabeza,Granel 200 g aprox.,1.99,200 g
228,Pescado fresco,"Rodaballo con piel, sin aletas y sin agallas","Pieza 1,35 kg aprox.",18.23,ud.
229,Pescado fresco,Rodaballo a filetes,"Pieza 1,35 kg aprox.",18.23,ud.
230,Pescado fresco,Rodaballo a filetes y sin piel,"Pieza 1,35 kg aprox.",18.23,ud.
231,Pescado fresco,Sardina sin limpiar,Granel 200 g aprox.,1.59,200 g
232,Pescado fresco,Sardina limpia sin cabeza,Granel 200 g aprox.,1.59,200 g
233,Pescado fresco,Morralla,Granel 400 g aprox.,3.18,400 g
234,Pescado fresco,Emperador marinado,Bandeja 230 g aprox.,5.39,ud.
235,Pescado fresco,Elaborado de merluza y gambón,Bandeja 2 ud. (240 g),2.95,ud.
236,Pescado fresco,Merluza rebozada,Bandeja 230 g,3.75,ud.
237,Marisco,Preparado de paella y sopa Hacendado ultracongelado,Paquete 685 g escurrido,8.76,ud.
238,Marisco,Arreglo para paella de marisco,Bandeja 800 g aprox.,1.49,ud.
239,Marisco,Gambón congelado,Granel 150 g aprox.,4.34,150 g
240,Marisco,Gambón grande congelado,Caja 2 kg,27.95,ud.
241,Marisco,Alistado mediano congelado,Granel 150 g aprox.,7.78,150 g
242,Marisco,Alistado mediano Hacendado congelado,Caja 1 kg aprox.,49.95,ud.
243,Marisco,Alistado grande congelado,Granel 150 g aprox.,1.49,150 g
244,Marisco,Alistado grande Hacendado congelado,Caja 1 kg aprox.,1.64,ud.
245,Marisco,Langostino cocido,Granel 150 g aprox.,10.25,150 g
246,Marisco,Langostino crudo ultracongelado,Granel 150 g aprox.,2.24,150 g
247,Marisco,Langostino crudo Pescanova ultracongelado,Caja 1 kg,13.95,ud.
248,Marisco,Langostino cocido,Bandeja 600 g,6.75,ud.
249,Marisco,Gamba arrocera Hacendado congelada,Granel 150 g aprox.,50.0,150 g
250,Marisco,Gamba blanca pequeña Hacendado congelada,Caja 1 kg aprox.,4.95,ud.
251,Marisco,Gamba cocida,Bandeja 300 g,5.95,ud.
252,Marisco,Carabinero Hacendado congelado,Caja 500 g aprox.,4.25,ud.
253,Marisco,Gamba pelada cruda tamaño mediano Hacendado ultracongelada,Paquete 360 g escurrido,4.75,ud.
254,Marisco,Gamba pelada cruda tamaño grande Hacendado ultracongelada,Paquete 360 g escurrido,3.95,ud.
255,Marisco,Camarón boreal cocido y pelado Royal Greenland ultracongelado,Paquete 200 g,10.65,ud.
256,Marisco,Langostino cocido y pelado Hacendado ultracongelado,Bandeja 220 g escurrido,14.85,ud.
257,Marisco,Langostino crudo y pelado Hacendado ultracongelado,Bandeja 220 g escurrido,10.96,ud.
258,Marisco,Cigala mediana Hacendado ultracongelada,Caja 500 g,2.97,ud.
259,Marisco,Bogavante americano mediano crudo Hacendado congelado,Pieza 450 g escurrido,8.95,ud.
260,Marisco,Buey de mar cocido Hacendado congelado,Pieza 715 g,6.15,ud.
261,Marisco,Bocas de cangrejo pequeñas congeladas,Granel 150 g aprox.,6.55,150 g
262,Marisco,Bocas de cangrejo pequeñas Hacendado congeladas,Caja 500 g,13.5,ud.
263,Marisco,Nécora cocida Hacendado congelada,Caja 500 g escurrido,2.18,ud.
264,Marisco,Colas de gambón crudo Hacendado congelado,Bandeja 250 g,4.95,ud.
265,Marisco,Alistado pequeño Hacendado congelado,Caja 1 kg aprox.,3.2,ud.
266,Marisco,Alistado pequeño congelado,Granel 150 g aprox.,2.45,150 g
267,Marisco,Salpicón de marisco Hacendado,Bandeja 400 g,3.25,ud.
268,Marisco,Mejillón,Malla 1 kg,2.95,ud.
269,Marisco,Carne de mejillón de Chile cocido Hacendado ultracongelado,Paquete 275 g escurrido,11.05,ud.
270,Marisco,Mejillón de Chile entero cocido Hacendado ultracongelado,Caja 450 g,1.7,ud.
271,Marisco,Mejillón vivo y limpio,Bandeja 750 g,5.95,ud.
272,Marisco,Almeja japonesa,Malla 500 g,3.95,ud.
273,Marisco,Almeja Hacendado congelada,Paquete 450 g,2.9,ud.
274,Marisco,Berberechos,Malla 500 g,4.35,ud.
275,Marisco,Navajas,Malla 500 g,2.35,ud.
276,Marisco,Cañaílla,Malla 500 g,2.6,ud.
277,Marisco,Chirla,Malla 500 g,2.25,ud.
278,Marisco,Palitos de surimi Hacendado,Paquete 460 g,2.24,ud.
279,Marisco,Palitos de surimi Hacendado ultracongelados,Paquete 32 ud. (600 g),1.99,ud.
280,Pescado congelado,Filetes de merluza argentina sin piel Hacendado ultracongelados,Paquete 970 g escurrido,6.35,ud.
281,Pescado congelado,Filetes de panga Hacendado ultracongelados,Paquete 900 g escurrido,4.95,ud.
282,Pescado congelado,Filetes de merluza del cabo sin piel Hacendado ultracongelados,Paquete 600 g escurrido,5.1,ud.
283,Pescado congelado,Rodaja de emperador Hacendado ultracongelado,Pieza 200 g aprox. escurrido,3.18,ud.
284,Pescado congelado,Filetes de bacalao Maredeus ultracongelado,Paquete 375 g escurrido,5.5,ud.
285,Pescado congelado,Filete de salmón rosado salvaje con piel Hacendado ultracongelado,Pieza 300 g aprox. escurrido,4.18,ud.
286,Pescado congelado,Rodajas de merluza del cabo Hacendado ultracongeladas,Paquete 580 g escurrido,5.0,ud.
287,Pescado congelado,Rodajas de emperador pequeñas Hacendado ultracongeladas,Paquete 900 g escurrido,12.95,ud.
288,Pescado congelado,Lomos y centros de merluza del cabo Hacendado ultracongelados,Caja 400 g,3.85,ud.
289,Pescado congelado,Anguriñas de surimi Pescanova ultracongeladas,Bandeja 260 g,2.3,ud.
290,Pescado congelado,Fritura de pescado Hacendado ultracongelada,Paquete 600 g escurrido,5.45,ud.
291,Pescado congelado,Porciones de bacalao sin piel MareDeus ultracongelado,Paquete 600 g escurrido,7.4,ud.
292,Pescado congelado,Rodaja de tintorera sin piel Hacendado ultracongelada,Pieza 450 g aprox. escurrido,3.13,ud.
293,Pescado congelado,Porciones de merluza del cabo sin piel Hacendado ultracongeladas,Paquete 500 g,4.6,ud.
294,Pescado congelado,Pescadilla de merluza del cabo sin cabeza Hacendado ultracongelada,Paquete 1 kg escurrido,5.0,ud.
295,Pescado congelado,Cola de rape del cabo Hacendado ultracongelada,Pieza 500 g aprox. escurrido,8.48,ud.
296,Pescado congelado,Filetes de merluza del cabo grandes sin piel Hacendado ultracongelados,Paquete 970 g escurrido,9.9,ud.
297,Pescado congelado,Merluza del cabo sin cabeza Hacendado ultracongelada,Pieza 700 g aprox. escurrido,4.86,ud.
298,Pescado congelado,Lenguado negro entero Hacendado ultracongelado,Paquete 600 g escurrido,7.7,ud.
299,Pescado congelado,Lomos de salmón sin piel y sin espinas Hacendado congelado,Paquete 2 ud. (250 g),6.5,ud.
300,Pescado congelado,Migas de bacalao sin espinas y sin piel MareDeus ultra congeladas,Paquete 300 g escurrido,3.85,ud.
301,Pescado congelado,Rodajas de atún de aleta amarilla Hacendado congelado,Bandeja 250 g aprox.,4.19,ud.
302,Pescado congelado,Lomo de bacalao MareDeus ultracongelado,Paquete 390 g aprox.,6.35,ud.
303,Pescado congelado,Albóndigas de bacalao Camós congeladas,Paquete 400 g,1.6,ud.
304,Pescado congelado,Aritos de surimi a la romana Pescanova ultracongelados,Paquete 625 g,2.95,ud.
305,Pescado congelado,Merluza empanada pan fino Hacendado ultracongelada,Paquete 510 g,4.95,ud.
306,Pescado congelado,Filetes de merluza al huevo Hacendado ultracongelados,Paquete 600 g,3.95,ud.
307,Pescado congelado,Varitas de merluza empanadas Hacendado ultracongeladas,Paquete 400 g,1.9,ud.
308,Pescado congelado,Empanadillas de atún Hacendado ultracongeladas,Caja 500 g,2.75,ud.
309,Pescado congelado,Palitos de merluza a la romana Hacendado ultracongelados,Paquete 500 g,3.6,ud.
310,Pescado congelado,Figuritas de merluza empanadas Hacendado ultracongeladas,Paquete 500 g,4.95,ud.
311,Pescado congelado,Chipirones enharinados Hacendado ultracongelado,Paquete 350 g,3.3,ud.
312,Pescado congelado,Langostino caballitos rebozados Hacendado ultracongelados,Paquete 300 g,3.75,ud.
313,Pescado congelado,Filetes de boquerón en tempura Hacendado ultracongelado,Paquete 400 g,3.65,ud.
314,Pescado congelado,Rabas empanadas Hacendado ultracongeladas,Paquete 500 g,4.3,ud.
315,Pescado congelado,Anillas de pota a la romana Hacendado ultracongeladas,Paquete 500 g,1.29,ud.
316,Pescado congelado,Croquetas de merluza Hacendado ultracongelados,Paquete 350 g,5.98,ud.
317,Pescado congelado,Tubo de pota argentina limpia congelado,Pieza 100 g aprox. escurrido,6.95,ud.
318,Pescado congelado,Sepia limpia congelada,Pieza 400 g aprox. escurrido,4.05,ud.
319,Pescado congelado,Huevas de sepia Hacendado congeladas,Bandeja 350 g,5.1,ud.
320,Pescado congelado,Sepia limpia troceada Hacendado congelada,Paquete 360 g escurrido,6.05,ud.
321,Pescado congelado,Calamar limpio troceado Hacendado congelado,Paquete 475 g escurrido,4.0,ud.
322,Pescado congelado,Rodaja de potón del Pacífico cocido Hacendado congelado,Paquete 475 g escurrido,4.45,ud.
323,Pescado congelado,Sepia limpia pequeña Hacendado congelada,Paquete 360 g escurrido,2.05,ud.
324,Pescado congelado,Tiras de potón Hacendado congeladas,Paquete 400 g escurrido,5.15,ud.
325,Pescado congelado,Tinta de sepia Nortindal congelada,Paquete 8 ud. (32 g),17.95,ud.
326,Pescado congelado,Anillas de pota Hacendado congeladas,Paquete 360 g escurrido,4.7,ud.
327,Pescado congelado,Pulpo crudo Hacendado congelado,Paquete 1 kg aprox.,4.5,ud.
328,Pescado congelado,Chipirón puntilla Hacendado congelado,Paquete 450 g escurrido,3.19,ud.
329,Salazones y ahumados,Filetes de anchoa en aceite de girasol Hacendado,3 bandejas x 29 g,2.1,pack
